allocated CHIP memory @0x43aa8, size 22 (D:\prg\_git\ACE\ace\managers\timer.c:22)
allocated CHIP memory @0x218b8, size 16 (D:\prg\_git\ACE\ace\managers\copper.c:218)
allocated CHIP memory @0x1e8c8, size 8 (D:\prg\_git\ACE\ace\managers\copper.c:221)
allocated CHIP memory @0x20b88, size 8 (D:\prg\_git\ACE\ace\managers\copper.c:222)
allocated CHIP memory @0x95148, size 20 (D:\prg\_git\ACE\ace\managers\game.c:23)
allocated CHIP memory @0x95108, size 12 (D:\prg\_git\ACE\ace\utils\extview.c:9)
allocated CHIP memory @0x95248, size 16 (D:\prg\_git\ACE\ace\managers\copper.c:218)
allocated CHIP memory @0x20d40, size 8 (D:\prg\_git\ACE\ace\managers\copper.c:221)
allocated CHIP memory @0x20df0, size 8 (D:\prg\_git\ACE\ace\managers\copper.c:222)
allocated CHIP memory @0x96018, size 28 (D:\prg\_git\ACE\ace\utils\extview.c:103)
allocated CHIP memory @0x96038, size 64 (D:\prg\_git\ACE\ace\utils\extview.c:116)
allocated CHIP memory @0x96218, size 34 (D:\prg\_git\ACE\ace\managers\viewport\simplebuffer.c:13)
allocated CHIP memory @0x96ab0, size 40 (D:\prg\_git\ACE\ace\utils\bitmap.c:13)
allocated CHIP memory @0x97758, size 10240 (D:\prg\_git\ACE\ace\utils\bitmap.c:32)
allocated CHIP memory @0x99f68, size 10240 (D:\prg\_git\ACE\ace\utils\bitmap.c:32)
allocated CHIP memory @0x9c778, size 10240 (D:\prg\_git\ACE\ace\utils\bitmap.c:32)
allocated CHIP memory @0xa1d18, size 10240 (D:\prg\_git\ACE\ace\utils\bitmap.c:32)
allocated CHIP memory @0xa4518, size 10240 (D:\prg\_git\ACE\ace\utils\bitmap.c:32)
allocated CHIP memory @0x96b10, size 30 (D:\prg\_git\ACE\ace\managers\viewport\camera.c:7)
allocated CHIP memory @0x96a78, size 20 (D:\prg\_git\ACE\ace\managers\copper.c:255)
allocated CHIP memory @0x96b40, size 44 (D:\prg\_git\ACE\ace\managers\copper.c:258)
allocated CHIP memory @0x96bb0, size 14 (D:\prg\_git\ACE\ace\utils\font.c:26)
allocated CHIP memory @0x96bf8, size 246 (D:\prg\_git\ACE\ace\utils\font.c:33)
allocated CHIP memory @0x96cf0, size 40 (D:\prg\_git\ACE\ace\utils\font.c:36)
allocated CHIP memory @0x96b80, size 24 (D:\prg\_git\ACE\showcase\src\menu\menulist.c:13)
allocated CHIP memory @0x96fb0, size 30 (D:\prg\_git\ACE\showcase\src\menu\menulist.c:14)
allocated CHIP memory @0x20f90, size 6 (D:\prg\_git\ACE\ace\utils\font.c:73)
allocated CHIP memory @0x97030, size 40 (D:\prg\_git\ACE\ace\utils\bitmap.c:13)
allocated CHIP memory @0x97058, size 48 (D:\prg\_git\ACE\ace\utils\bitmap.c:32)
freed memory 0x97058, size 48 (D:\prg\_git\ACE\ace\utils\bitmap.c:87)
freed memory 0x97030, size 40 (D:\prg\_git\ACE\ace\utils\bitmap.c:88)
freed memory 0x20f90, size 6 (D:\prg\_git\ACE\ace\utils\font.c:110)
freed memory 0x96fb0, size 30 (D:\prg\_git\ACE\showcase\src\menu\menulist.c:110)
allocated CHIP memory @0x96fb0, size 30 (D:\prg\_git\ACE\showcase\src\menu\menulist.c:113)
allocated CHIP memory @0x20f90, size 6 (D:\prg\_git\ACE\ace\utils\font.c:73)
allocated CHIP memory @0x97050, size 40 (D:\prg\_git\ACE\ace\utils\bitmap.c:13)
allocated CHIP memory @0x97098, size 24 (D:\prg\_git\ACE\ace\utils\bitmap.c:32)
allocated CHIP memory @0x214a0, size 6 (D:\prg\_git\ACE\ace\utils\font.c:73)
allocated CHIP memory @0x970d0, size 40 (D:\prg\_git\ACE\ace\utils\bitmap.c:13)
allocated CHIP memory @0x97108, size 36 (D:\prg\_git\ACE\ace\utils\bitmap.c:32)
allocated CHIP memory @0x21600, size 6 (D:\prg\_git\ACE\ace\utils\font.c:73)
allocated CHIP memory @0x97150, size 40 (D:\prg\_git\ACE\ace\utils\bitmap.c:13)
allocated CHIP memory @0x97188, size 12 (D:\prg\_git\ACE\ace\utils\bitmap.c:32)
allocated CHIP memory @0x971a8, size 52 (D:\prg\_git\ACE\ace\managers\copper.c:74)
allocated CHIP memory @0x216b0, size 6 (D:\prg\_git\ACE\ace\utils\font.c:73)
allocated CHIP memory @0x97200, size 40 (D:\prg\_git\ACE\ace\utils\bitmap.c:13)
allocated CHIP memory @0x97238, size 24 (D:\prg\_git\ACE\ace\utils\bitmap.c:32)
freed memory 0x97238, size 24 (D:\prg\_git\ACE\ace\utils\bitmap.c:87)
freed memory 0x97200, size 40 (D:\prg\_git\ACE\ace\utils\bitmap.c:88)
freed memory 0x216b0, size 6 (D:\prg\_git\ACE\ace\utils\font.c:110)
freed memory 0x97188, size 12 (D:\prg\_git\ACE\ace\utils\bitmap.c:87)
freed memory 0x97150, size 40 (D:\prg\_git\ACE\ace\utils\bitmap.c:88)
freed memory 0x21600, size 6 (D:\prg\_git\ACE\ace\utils\font.c:110)
freed memory 0x97108, size 36 (D:\prg\_git\ACE\ace\utils\bitmap.c:87)
freed memory 0x970d0, size 40 (D:\prg\_git\ACE\ace\utils\bitmap.c:88)
freed memory 0x214a0, size 6 (D:\prg\_git\ACE\ace\utils\font.c:110)
freed memory 0x97098, size 24 (D:\prg\_git\ACE\ace\utils\bitmap.c:87)
freed memory 0x97050, size 40 (D:\prg\_git\ACE\ace\utils\bitmap.c:88)
freed memory 0x20f90, size 6 (D:\prg\_git\ACE\ace\utils\font.c:110)
freed memory 0x96fb0, size 30 (D:\prg\_git\ACE\showcase\src\menu\menulist.c:110)
allocated CHIP memory @0x97050, size 40 (D:\prg\_git\ACE\showcase\src\menu\menulist.c:113)
allocated CHIP memory @0x20f90, size 6 (D:\prg\_git\ACE\ace\utils\font.c:73)
allocated CHIP memory @0x970d0, size 40 (D:\prg\_git\ACE\ace\utils\bitmap.c:13)
allocated CHIP memory @0x97108, size 24 (D:\prg\_git\ACE\ace\utils\bitmap.c:32)
allocated CHIP memory @0x214a0, size 6 (D:\prg\_git\ACE\ace\utils\font.c:73)
allocated CHIP memory @0x97200, size 40 (D:\prg\_git\ACE\ace\utils\bitmap.c:13)
allocated CHIP memory @0x97238, size 24 (D:\prg\_git\ACE\ace\utils\bitmap.c:32)
allocated CHIP memory @0x21600, size 6 (D:\prg\_git\ACE\ace\utils\font.c:73)
allocated CHIP memory @0x97270, size 40 (D:\prg\_git\ACE\ace\utils\bitmap.c:13)
allocated CHIP memory @0x972a8, size 24 (D:\prg\_git\ACE\ace\utils\bitmap.c:32)
allocated CHIP memory @0x216b0, size 6 (D:\prg\_git\ACE\ace\utils\font.c:73)
allocated CHIP memory @0x972e0, size 40 (D:\prg\_git\ACE\ace\utils\bitmap.c:13)
allocated CHIP memory @0x97318, size 24 (D:\prg\_git\ACE\ace\utils\bitmap.c:32)
freed memory 0x97318, size 24 (D:\prg\_git\ACE\ace\utils\bitmap.c:87)
freed memory 0x972e0, size 40 (D:\prg\_git\ACE\ace\utils\bitmap.c:88)
freed memory 0x216b0, size 6 (D:\prg\_git\ACE\ace\utils\font.c:110)
freed memory 0x972a8, size 24 (D:\prg\_git\ACE\ace\utils\bitmap.c:87)
freed memory 0x97270, size 40 (D:\prg\_git\ACE\ace\utils\bitmap.c:88)
freed memory 0x21600, size 6 (D:\prg\_git\ACE\ace\utils\font.c:110)
freed memory 0x97238, size 24 (D:\prg\_git\ACE\ace\utils\bitmap.c:87)
freed memory 0x97200, size 40 (D:\prg\_git\ACE\ace\utils\bitmap.c:88)
freed memory 0x214a0, size 6 (D:\prg\_git\ACE\ace\utils\font.c:110)
freed memory 0x97108, size 24 (D:\prg\_git\ACE\ace\utils\bitmap.c:87)
freed memory 0x970d0, size 40 (D:\prg\_git\ACE\ace\utils\bitmap.c:88)
freed memory 0x20f90, size 6 (D:\prg\_git\ACE\ace\utils\font.c:110)
freed memory 0x97050, size 40 (D:\prg\_git\ACE\showcase\src\menu\menulist.c:110)
freed memory 0x96b80, size 24 (D:\prg\_git\ACE\showcase\src\menu\menulist.c:37)
freed memory 0x96cf0, size 40 (D:\prg\_git\ACE\ace\utils\font.c:54)
freed memory 0x96bf8, size 246 (D:\prg\_git\ACE\ace\utils\font.c:55)
freed memory 0x96bb0, size 14 (D:\prg\_git\ACE\ace\utils\font.c:56)
freed memory 0x96b10, size 30 (D:\prg\_git\ACE\ace\managers\viewport\camera.c:24)
freed memory 0x97758, size 10240 (D:\prg\_git\ACE\ace\utils\bitmap.c:87)
freed memory 0x99f68, size 10240 (D:\prg\_git\ACE\ace\utils\bitmap.c:87)
freed memory 0x9c778, size 10240 (D:\prg\_git\ACE\ace\utils\bitmap.c:87)
freed memory 0xa1d18, size 10240 (D:\prg\_git\ACE\ace\utils\bitmap.c:87)
freed memory 0xa4518, size 10240 (D:\prg\_git\ACE\ace\utils\bitmap.c:87)
freed memory 0x96ab0, size 40 (D:\prg\_git\ACE\ace\utils\bitmap.c:88)
freed memory 0x96218, size 34 (D:\prg\_git\ACE\ace\managers\viewport\simplebuffer.c:63)
freed memory 0x96038, size 64 (D:\prg\_git\ACE\ace\utils\extview.c:179)
freed memory 0x96018, size 28 (D:\prg\_git\ACE\ace\utils\extview.c:180)
freed memory 0x96b40, size 44 (D:\prg\_git\ACE\ace\managers\copper.c:305)
freed memory 0x96a78, size 20 (D:\prg\_git\ACE\ace\managers\copper.c:306)
freed memory 0x971a8, size 52 (D:\prg\_git\ACE\ace\managers\copper.c:237)
freed memory 0x20df0, size 8 (D:\prg\_git\ACE\ace\managers\copper.c:238)
freed memory 0x20d40, size 8 (D:\prg\_git\ACE\ace\managers\copper.c:243)
freed memory 0x95248, size 16 (D:\prg\_git\ACE\ace\managers\copper.c:246)
freed memory 0x95108, size 12 (D:\prg\_git\ACE\ace\utils\extview.c:38)
allocated CHIP memory @0x95108, size 12 (D:\prg\_git\ACE\ace\utils\extview.c:9)
allocated CHIP memory @0x96018, size 16 (D:\prg\_git\ACE\ace\managers\copper.c:218)
allocated CHIP memory @0x20d40, size 8 (D:\prg\_git\ACE\ace\managers\copper.c:221)
